"id","name","description","manufacturer","price"
"http://www.google.com/base/feeds/snippets/11125907881740407428","learning quickbooks 2007","learning quickbooks 2007","intuit","38.99"
"http://www.google.com/base/feeds/snippets/11538923464407758599","superstart! fun reading & writing!","fun reading & writing! designed help kid learn read write better exercise puzzle-solving creative writing decoding more!","","8.49"
"http://www.google.com/base/feeds/snippets/11343515411965421256","qb po 6.0 basic software","qb po 6.0 basic retail mngmt software. retailer need basic inventory sale customer tracking.","intuit","637.99"
"http://www.google.com/base/feeds/snippets/12049235575237146821","math missions: amazing arcade adventure (grades 3-5)","save spectacle city disrupting randall underling's plan drive store business take city. solve real-world math challenge uniquely entertaining store make theme successful again.","","12.95"
"http://www.google.com/base/feeds/snippets/12244614697089679523","production prem cs3 mac upgrad","adobe cs3 production premium mac upgrade production studio premium standard","adobe software","805.99"
"http://www.google.com/base/feeds/snippets/12311932123270766595","video studio 11 plus","corel video studio 11 plus consumer video editing dvd authoring software let anyone video.","corel corporation","103.99"
"http://www.google.com/base/feeds/snippets/13364214809208487698","edius pro 4","whether working standard definition high definition video grass valley edius pro nle software free limitation conventional editing systems. edius pro software upgraded edius broadcast time.","canopus/grass valley","585.99"
"http://www.google.com/base/feeds/snippets/12835181529749808477","qb po 6.0 pro multi store sw","qb po 6.0 pro multistore retail mngmt software. feature basic plus ability manage ten store single office.","intuit","1054.99"
"http://www.google.com/base/feeds/snippets/12949835105262366018","qb credit card kit 3.0","quickbooks credit card kit v3.0 (2007)","intuit","25.99"
"http://www.google.com/base/feeds/snippets/12991998923940483779","vega movie studiodvd+8 plat","sony medium software vega movie studio +dvd 8 platinum edition. video editing dvd creation software vega movie studio platinum edition software provides power feature advanced tool need edit video nearly format ...","sony creative software","92.99"
"http://www.google.com/base/feeds/snippets/13394537834910060641","qb po 6.0 pro solution hw/sw","qb po 6.0 pro solution hw/sw. ship unprinted corrugated shipper.","intuit","1474.99"
"http://www.google.com/base/feeds/snippets/13665841494141374823","are rising","decide fate galaxy! space combat simulation game combine action space combat strategic planning gripping plot.","","29.95"
"http://www.google.com/base/feeds/snippets/10563522754094993865","evergirl: pc cd-rom video game","based tween lifestyle brand launched 2004 action/adventure game contain load adventure tailored specifically player's personality type. evergirl brand feature clothing accessory line companion web ...","","14.99"
"http://www.google.com/base/feeds/snippets/13499020603250895672","cd384-aisk9= cisco io advanced ip service - complete package - cd","cisco system cd384-aisk9= : usually ship 24 hour : stock : cisco io (internetworking operating system) software platform delivers network service enables networked applications.","","2068.26"
"http://www.google.com/base/feeds/snippets/13506048545083752063","633808063023 wasp bar code fontware - complete package - 10 user - cd - win - english","wasp bar code 633808063023 : usually ship 24 hour : stock : wasp fontware powerful bar code utility seamlessly integrates truetype font favorite business software database applications.","","154.6"
"http://www.google.com/base/feeds/snippets/13506662111309274857","0202-034 axis camera station - license - 1 additional user","axis communication 0202-034 : usually ship 24 hour : stock : axis camera station ip-surveillance software work axis network camera video server provide video monitoring recording event management functions.","","95.12"
"http://www.google.com/base/feeds/snippets/13509582144618483313","eu063av aba microsoft window xp professional - license medium - 1 user - cto - english -","hp eu063av aba : usually ship 24 hour : : microsoft window xp professional next version window operating system designed business size individual demand computing ...","","137.09"
"http://www.google.com/base/feeds/snippets/13490501694625983754","bb0gyna ibm informix dynamic server enterprise edition - ( v. 9.4 ) - medium - cd - linux","ibm bb0gyna : usually ship 24 hour : : ibm informix dynamic server (ids) delivers superior reliability - meeting need today's demanding e-business practice - particularly application requiring high-performance transactions.","","195.53"
"http://www.google.com/base/feeds/snippets/13495800857575425103","eqzfn07-201 zetafax business edition - license - 5 user - win","equisys eqzfn07-201 : usually ship 24 hour : stock : zetafax business edition equisys entry-level network fax software 5 25 network users.","","499.17"
"http://www.google.com/base/feeds/snippets/13498255156520573167","633808390266 wasp mobileasset professional edition combo pack spt 1800 - ( v. 5 ) - comp","wasp bar code 633808390266 : usually ship 24 hour : stock : wasp mobileasset 1 selling industry-leading asset tracking solution small medium-sized businesses.","","2021.99"
"http://www.google.com/base/feeds/snippets/13498594914201055159","wg017449 watchguard firebox x5500e utm software suite - subscription license ( 1 year ) +","watchguard technology wg017449 : usually ship 24 hour : : turn firebox x5500e comprehensive unified threat management (utm) solution - best class - utm software suite watchguard.","","3715.48"
"http://www.google.com/base/feeds/snippets/13680933987356137404","11k2990 international printing mysap.com - complete package - 1 client - cd - englis","lexmark international 11k2990 : usually ship 24 hour : : international printing mysap.","","149.43"
"http://www.google.com/base/feeds/snippets/13719401226624644329","5325302018 snap enterprise data replicator - license - 1 server - linux unix win","adaptec 5325302018 : usually ship 24 hour : : snap edr high-performance network-optimized software solution distributing protecting reporting business-critical information throughout distributed enterprises.","","663.22"
"http://www.google.com/base/feeds/snippets/13756542466722287702","38039440dm adobe flash cs3 professional - ( v. 9 ) - medium - tlp tlp nonprofit - dvd - win","adobe system 38039440dm : usually ship 24 hour : : adobe flash cs3 professional software advanced authoring environment creating rich interactive content digital web mobile platforms.","","18.88"
"http://www.google.com/base/feeds/snippets/13523914615628879714","11105106 symantec bindview policy manager - ( v. 1.0 ) - medium - cd - win - english","symantec 11105106 : usually ship 24 hour : : symantec bindview policy manager reduces increasing cost compliance multiple regulation providing automated policy management defines disseminates policy throughout ...","","16.09"
"http://www.google.com/base/feeds/snippets/13515827501684146744","25510587 adobe effect cs3 professional - complete package - 1 user - dvd - win - c","adobe system 25510587 : usually ship 24 hour : : bring vision life blockbuster visual effect compelling motion graphics.","","1054.23"
"http://www.google.com/base/feeds/snippets/13519260862216750553","wg017127 watchguard gateway antivirus e-mail - maintenance ( 1 year ) - 1 device - wi","watchguard technology wg017127 : usually ship 24 hour : : virus threat carried e-mail happen frequently become harder catch.","","751.44"
"http://www.google.com/base/feeds/snippets/13522752516373728128","did0480p-m311 plasmon additional maintenance 24x7 - plasmon diamond technical support - consul","plasmon did0480p-m311 : usually ship 24 hour : : plasmon provides industry's comprehensive line automated storage library optical drive disk library storage management software associated support services.","","1562.06"
"http://www.google.com/base/feeds/snippets/13630644212149116511","633808035020 wasp nest ccd suite business edition - complete package - 1 user - cd - win","wasp bar code 633808035020 : usually ship 24 hour : stock : wasp nest suite powerful desktop bar code solution that's right business.","","179.03"
"http://www.google.com/base/feeds/snippets/13467860255503828452","711-00072 microsoft entertainment pocketpak 2004 productivity pack - complete package - 1","microsoft 711-00072 : usually ship 24 hour : stock : microsoft worldwide leader software service internet technology personal business computing.","","29.93"
"http://www.google.com/base/feeds/snippets/13464833788774660263","01-ssc-6993 sonicwall client/server anti-virus suite - subscription license ( 3 year ) - 50","sonicwall 01-ssc-6993 : usually ship 24 hour : : sonicwall client/server anti-virus suite leverage award-winning mcafee netshield groupshield application network window -based file print exchange servers.","","3992.98"
"http://www.google.com/base/feeds/snippets/13472653188599800123","buvsag-00000 ulead videostudio 10 - complete package - 1 user - win - english","corel buvsag-00000 : usually ship 24 hour : stock : ulead videostudio 10 feature affordable easy-to-use editing authoring tool making great home movies.","","61.94"
"http://www.google.com/base/feeds/snippets/13470483249127905511","s71-00009 perfect dark zero - complete package - 1 user - microsoft xbox 360 - dvd - engli","microsoft s71-00009 : usually ship 24 hour : stock : joanna dark return xbox 360 exclusive perfect dark: zero prequel internationally award-winning multi-million selling first-person shooter perfect dark famed ...","","34.38"
"http://www.google.com/base/feeds/snippets/13452628916237194338","c6q-00002 microsoft digital image suite plus - complete package - 1 pc - cd-rom (mini box)","microsoft c6q-00002 : usually ship 24 hour : stock : get powerful digital photography tool perfect shot - whether beginner pro.","","93.33"
"http://www.google.com/base/feeds/snippets/13449641891153735617","ma166z/a ilife '06 - complete package - 1 user - dvd - mac","apple computer ma166z/a : usually ship 24 hour : : ilife '06 must-have update apple's award-winning suite digital lifestyle application delivers major upgrade iphoto imovie hd idvd garageband plus innovative new ...","","72.74"
"http://www.google.com/base/feeds/snippets/13461172312323021942","s45es-12225sg= cisco io enterprise service - ( v. 12.2(25)sg ) - complete package","cisco system s45es-12225sg= : usually ship 24 hour : : cisco io (internetworking operating system) software platform delivers network service enables networked applications.","","7022.74"
"http://www.google.com/base/feeds/snippets/13453533093802675063","t74-00004 microsoft window small business server 2003 - license - 20 additional user cals","microsoft t74-00004 : usually ship 24 hour : stock : small business work harder ever.","","1834.4"
"http://www.google.com/base/feeds/snippets/13486878941125826714","122103 quarkxpress - ( v. 7 ) - complete package - 1 user - cd - win mac","quark 122103 : usually ship 24 hour : stock : quarkxpress powerful design page layout software intuitive versatile interface let combine superior typography color picture produce dynamic final output ...","","742.21"
